DAY.STR,DAWN.STR,NIGHT.STR,RAIN.STR
10802,10802,10802,10802
18800,18800,18800,18800
10802,10802,10802,10802
18800,18800,18800,18800
10802,10802,10802,10802
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
18800,18800,18800,18800
14200,14200,14200,14200
18800,18800,18800,18800
14200,14200,14200,14200
18799,18799,18799,18799
11601,11601,11601,11601
18799,18799,18799,18799
13200,13200,13200,13200
13210,13210,13210,13210
18817,18817,18817,18817
14024,14024,14024,14024
14459,14459,14459,14459
19027,19027,19027,19027
19663,19663,19663,19663
18850,18850,18850,18850
18400,18400,18400,18400
15210,15210,15210,15210
23386,23386,23386,23386
11612,11612,11612,11612
18800,18800,18800,18800
11612,11612,11612,11612
18800,18800,18800,18800
18600,18600,18600,18600
18801,18801,18801,18801
18600,18600,18600,18600
18801,18801,18801,18801
18600,18600,18600,18600
18801,18801,18801,18801
18841,18841,18841,18841
18800,18800,18800,18800
18841,18841,18841,18841
18800,18800,18800,18800
18841,18841,18841,18841
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
12406,12406,12406,12406
18800,18800,18800,18800
13399,13399,13399,13399
18801,18801,18801,18801
14055,14055,14055,14055
14437,14437,14437,14437
16226,16226,16226,16226
14800,14800,14800,14800
18823,18823,18823,18823
15596,15596,15596,15596
18804,18804,18804,18804
22905,22905,22905,22905
18002,18002,18002,18002
18654,18654,18654,18654
18002,18002,18002,18002
18654,18654,18654,18654
20704,20704,20704,20704
10900,10900,10900,10900
20704,20704,20704,20704
10900,10900,10900,10900
19399,19399,19399,19399
9200,9200,9200,9200
19399,19399,19399,19399
9200,9200,9200,9200
19000,19000,19000,19000
11315,11315,11315,11315
19060,19060,19060,19060
11543,11543,11543,11543
18840,18840,18840,18840
17400,17400,17400,17400
19152,19152,19152,19152
16260,16260,16260,16260
18800,18800,18800,18800
3400,3400,3400,3400
19088,19088,19088,19088
13757,13757,13757,13757
18877,18877,18877,18877
15438,15438,15438,15438
14765,14765,14765,14765
16557,16557,16557,16557
18829,18829,18829,18829
17550,17550,17550,17550
21285,21285,21285,21285
17668,17668,17668,17668
17108,17108,17108,17108
18417,18417,18417,18417
17199,17199,17199,17199
15600,15600,15600,15600
12772,12772,12772,12772
18007,18007,18007,18007
18800,18800,18800,18800
3400,3400,3400,3400
11116,11116,11116,11116
8062,8062,8062,8062
25600,25600,25600,25600
14978,14978,14978,14978
26656,26656,26656,26656
19629,19629,19629,19629
16599,16599,16599,16599
18806,18806,18806,18806
16199,16199,16199,16199
18000,18000,18000,18000
14800,14800,14800,14800
20530,20530,20530,20530
18901,18901,18901,18901
16496,16496,16496,16496
19656,19656,19656,19656
15133,15133,15133,15133
18826,18826,18826,18826
24100,24100,24100,24100
18799,18799,18799,18799
10600,10600,10600,10600
19116,19116,19116,19116
10400,10400,10400,10400
17799,17799,17799,17799
16000,16000,16000,16000
22441,22441,22441,22441
16529,16529,16529,16529
20400,20400,20400,20400
10400,10400,10400,10400
19999,19999,19999,19999
18200,18200,18200,18200
6399,6399,6399,6399
18800,18800,18800,18800
18800,18800,18800,18800
18800,18800,18800,18800
18908,18908,18908,18908
17678,17678,17678,17678
13749,13749,13749,13749
16308,16308,16308,16308
18799,18799,18799,18799
22400,22400,22400,22400
15135,15135,15135,15135
14405,14405,14405,14405
17049,17049,17049,17049
18988,18988,18988,18988
20599,20599,20599,20599
19850,19850,19850,19850
17808,17808,17808,17808
21089,21089,21089,21089
19463,19463,19463,19463
20517,20517,20517,20517
18799,18799,18799,18799
14800,14800,14800,14800
18800,18800,18800,18800
3400,3400,3400,3400
18799,18799,18799,18799
15800,15800,15800,15800
18799,18799,18799,18799
18800,18800,18800,18800
18800,18800,18800,18800
14600,14600,14600,14600
18799,18799,18799,18799
14601,14601,14601,14601
21844,21844,21844,21844
22123,22123,22123,22123
18800,18800,18800,18800
23000,23000,23000,23000
18800,18800,18800,18800
15107,15107,15107,15107
16151,16151,16151,16151
15450,15450,15450,15450
17049,17049,17049,17049
18850,18850,18850,18850
13799,13799,13799,13799
18640,18640,18640,18640
18799,18799,18799,18799
14800,14800,14800,14800
18799,18799,18799,18799
11400,11400,11400,11400
18799,18799,18799,18799
10405,10405,10405,10405
18799,18799,18799,18799
11800,11800,11800,11800
12399,12399,12399,12399
18800,18800,18800,18800
18799,18799,18799,18799
16200,16200,16200,16200
18799,18799,18799,18799
18800,18800,18800,18800
18799,18799,18799,18799
12600,12600,12600,12600
12684,12684,12684,12684
